AAPL,Date_AAPL,MSFT,Date_MSFT,GOOGL,Date_GOOGL,TSLA,Date_TSLA
22.96537971496582,2016-05-25,47.07145309448242,2016-05-25,36.904998779296875,2016-05-25,14.638667106628418,2016-05-25
23.147499084472656,2016-05-26,46.86372375488281,2016-05-26,36.846500396728516,2016-05-26,15.008000373840332,2016-05-26
23.1336669921875,2016-05-27,47.25208282470703,2016-05-27,37.380001068115234,2016-05-27,14.869333267211914,2016-05-27
23.020709991455078,2016-05-31,47.8662109375,2016-05-31,37.442501068115234,2016-05-31,14.881999969482422,2016-05-31
22.697969436645508,2016-06-01,47.73072814941406,2016-06-01,37.42300033569336,2016-06-01,14.637332916259766,2016-06-01
22.52737045288086,2016-06-02,47.396575927734375,2016-06-02,37.2135009765625,2016-06-02,14.597332954406738,2016-06-02
22.57347869873047,2016-06-03,46.773414611816406,2016-06-03,36.792999267578125,2016-06-03,14.599332809448242,2016-06-03
22.73715591430664,2016-06-06,47.08047866821289,2016-06-06,36.50299835205078,2016-06-06,14.711999893188477,2016-06-06
22.829362869262695,2016-06-07,47.053382873535156,2016-06-07,36.554500579833984,2016-06-07,15.489333152770996,2016-06-07
22.80862045288086,2016-06-08,46.99919128417969,2016-06-08,37.14649963378906,2016-06-08,15.701333045959473,2016-06-08
22.9722957611084,2016-06-09,46.61988830566406,2016-06-09,37.125999450683594,2016-06-09,15.290666580200195,2016-06-09
22.783260345458984,2016-06-10,46.493446350097656,2016-06-10,36.65950012207031,2016-06-10,14.586000442504883,2016-06-10
22.43977165222168,2016-06-13,45.28323745727539,2016-06-13,36.59400177001953,2016-06-13,14.524666786193848,2016-06-13
22.467439651489258,2016-06-14,45.003273010253906,2016-06-14,36.662498474121094,2016-06-14,14.330666542053223,2016-06-14
22.393665313720703,2016-06-15,44.876827239990234,2016-06-15,36.609500885009766,2016-06-15,14.513333320617676,2016-06-15
22.488183975219727,2016-06-16,45.50901794433594,2016-06-16,36.212501525878906,2016-06-16,14.528667449951172,2016-06-16
21.976404190063477,2016-06-17,45.27420425415039,2016-06-17,35.212501525878906,2016-06-17,14.364666938781738,2016-06-17
21.92337989807129,2016-06-20,45.22000503540039,2016-06-20,35.30649948120117,2016-06-20,14.646666526794434,2016-06-20
22.11011505126953,2016-06-21,46.23152542114258,2016-06-21,35.444000244140625,2016-06-21,14.640666961669922,2016-06-21
22.027124404907227,2016-06-22,46.0509033203125,2016-06-22,35.52349853515625,2016-06-22,13.11066722869873,2016-06-22
22.153913497924805,2016-06-23,46.88178253173828,2016-06-23,35.743499755859375,2016-06-23,13.09333324432373,2016-06-23
21.53148651123047,2016-06-24,45.003273010253906,2016-06-24,34.2599983215332,2016-06-24,12.876667022705078,2016-06-24
21.21796417236328,2016-06-27,43.73887634277344,2016-06-27,34.05699920654297,2016-06-27,13.236666679382324,2016-06-27
21.575288772583008,2016-06-28,44.65105056762695,2016-06-28,34.5629997253418,2016-06-28,13.452667236328125,2016-06-28
21.762012481689453,2016-06-29,45.644500732421875,2016-06-29,34.759498596191406,2016-06-29,14.012666702270508,2016-06-29
22.038650512695312,2016-06-30,46.21345901489258,2016-06-30,35.17649841308594,2016-06-30,14.152000427246094,2016-06-30
22.10550308227539,2016-07-01,46.20443344116211,2016-07-01,35.51250076293945,2016-07-01,14.433333396911621,2016-07-01
21.89802360534668,2016-07-05,46.21345901489258,2016-07-05,35.24449920654297,2016-07-05,14.26533317565918,2016-07-05
22.022512435913086,2016-07-06,46.40312576293945,2016-07-06,35.44850158691406,2016-07-06,14.295999526977539,2016-07-06
22.117033004760742,2016-07-07,46.40312576293945,2016-07-07,35.362998962402344,2016-07-07,14.395999908447266,2016-07-07
22.28762435913086,2016-07-08,47.2340087890625,2016-07-08,35.888999938964844,2016-07-08,14.45199966430664,2016-07-08
22.35677719116211,2016-07-11,47.49592208862305,2016-07-11,36.36000061035156,2016-07-11,14.985333442687988,2016-07-11
22.458213806152344,2016-07-12,48.05586624145508,2016-07-12,36.6254997253418,2016-07-12,14.976667404174805,2016-07-12
22.331417083740234,2016-07-13,48.32680130004883,2016-07-13,36.4739990234375,2016-07-13,14.835332870483398,2016-07-13
22.774036407470703,2016-07-14,48.53453826904297,2016-07-14,36.790000915527344,2016-07-14,14.768667221069336,2016-07-14
22.771739959716797,2016-07-15,48.498416900634766,2016-07-15,36.78150177001953,2016-07-15,14.69333267211914,2016-07-15
23.0137939453125,2016-07-18,48.73322296142578,2016-07-18,37.65999984741211,2016-07-18,15.083333015441895,2016-07-18
23.023014068603516,2016-07-19,47.94748306274414,2016-07-19,37.670501708984375,2016-07-19,15.017333030700684,2016-07-19
23.04376220703125,2016-07-20,50.49433135986328,2016-07-20,37.854000091552734,2016-07-20,15.223999977111816,2016-07-20
22.921581268310547,2016-07-21,50.39497756958008,2016-07-21,37.72050094604492,2016-07-21,14.699999809265137,2016-07-21
22.744077682495117,2016-07-22,51.09040451049805,2016-07-22,37.9640007019043,2016-07-22,14.817999839782715,2016-07-22
22.43977165222168,2016-07-25,51.23490524291992,2016-07-25,37.875999450683594,2016-07-25,15.333999633789062,2016-07-25
22.285316467285156,2016-07-26,51.261993408203125,2016-07-26,37.88249969482422,2016-07-26,15.300666809082031,2016-07-26
23.733043670654297,2016-07-27,50.74720764160156,2016-07-27,38.0984992980957,2016-07-27,15.232666969299316,2016-07-27
24.0534725189209,2016-07-28,50.76526641845703,2016-07-28,38.29199981689453,2016-07-28,15.37399959564209,2016-07-28
24.023513793945312,2016-07-29,51.18975067138672,2016-07-29,39.56700134277344,2016-07-29,15.652667045593262,2016-07-29
24.44768714904785,2016-08-01,51.09943771362305,2016-08-01,40.047000885009766,2016-08-01,15.333999633789062,2016-08-01
24.08575439453125,2016-08-02,51.09943771362305,2016-08-02,40.00600051879883,2016-08-02,15.146666526794434,2016-08-02
24.38775062561035,2016-08-03,51.45166015625,2016-08-03,39.94599914550781,2016-08-03,15.052666664123535,2016-08-03
24.53840446472168,2016-08-04,51.83096694946289,2016-08-04,39.86249923706055,2016-08-04,15.37399959564209,2016-08-04
24.911569595336914,2016-08-05,52.34575271606445,2016-08-05,40.346500396728516,2016-08-05,15.335332870483398,2016-08-05
25.11785125732422,2016-08-08,52.43607711791992,2016-08-08,40.26150131225586,2016-08-08,15.077333450317383,2016-08-08
25.219833374023438,2016-08-09,52.5625114440918,2016-08-09,40.374000549316406,2016-08-09,15.272000312805176,2016-08-09
25.03209114074707,2016-08-10,52.399940490722656,2016-08-10,40.42449951171875,2016-08-10,15.043333053588867,2016-08-10
25.015865325927734,2016-08-11,52.65282440185547,2016-08-11,40.40999984741211,2016-08-11,14.994000434875488,2016-08-11
25.073816299438477,2016-08-12,52.32769775390625,2016-08-12,40.352500915527344,2016-08-12,15.040666580200195,2016-08-12
25.375125885009766,2016-08-15,52.490264892578125,2016-08-15,40.29800033569336,2016-08-15,15.03933334350586,2016-08-15
25.351945877075195,2016-08-16,52.1994514465332,2016-08-16,40.05950164794922,2016-08-16,14.907333374023438,2016-08-16
25.314863204956055,2016-08-17,52.30851364135742,2016-08-17,40.270999908447266,2016-08-17,14.88266658782959,2016-08-17
25.28241539001465,2016-08-18,52.3448486328125,2016-08-18,40.13750076293945,2016-08-18,14.900667190551758,2016-08-18
25.347312927246094,2016-08-19,52.36302185058594,2016-08-19,39.98249816894531,2016-08-19,15.0,2016-08-19
25.150293350219727,2016-08-22,52.408477783203125,2016-08-22,39.84749984741211,2016-08-22,14.862000465393066,2016-08-22
25.229103088378906,2016-08-23,52.608402252197266,2016-08-23,39.829498291015625,2016-08-23,14.989333152770996,2016-08-23
25.03904914855957,2016-08-24,52.66292953491211,2016-08-24,39.68000030517578,2016-08-24,14.841333389282227,2016-08-24
24.93242645263672,2016-08-25,52.862857818603516,2016-08-25,39.564998626708984,2016-08-25,14.730667114257812,2016-08-25
24.786409378051758,2016-08-26,52.73562240600586,2016-08-26,39.6609992980957,2016-08-26,14.666000366210938,2016-08-26
24.75859260559082,2016-08-29,52.799232482910156,2016-08-29,39.79100036621094,2016-08-29,14.346667289733887,2016-08-29
24.56853485107422,2016-08-30,52.608402252197266,2016-08-30,39.59600067138672,2016-08-30,14.089332580566406,2016-08-30
24.591712951660156,2016-08-31,52.2176399230957,2016-08-31,39.49250030517578,2016-08-31,14.133999824523926,2016-08-31
24.737735748291016,2016-09-01,52.335777282714844,2016-09-01,39.56999969482422,2016-09-01,13.38466739654541,2016-09-01
24.969514846801758,2016-09-02,52.408477783203125,2016-09-02,39.84349822998047,2016-09-02,13.185333251953125,2016-09-02
24.962556838989258,2016-09-06,52.353946685791016,2016-09-06,40.4010009765625,2016-09-06,13.522000312805176,2016-09-06
25.11553382873535,2016-09-07,52.39937973022461,2016-09-07,40.39950180053711,2016-09-07,13.447333335876465,2016-09-07
24.457279205322266,2016-09-08,52.19038009643555,2016-09-08,40.141998291015625,2016-09-08,13.157333374023438,2016-09-08
23.903335571289062,2016-09-09,51.081668853759766,2016-09-09,39.42399978637695,2016-09-09,12.964667320251465,2016-09-09
24.438735961914062,2016-09-12,51.845035552978516,2016-09-12,39.941001892089844,2016-09-12,13.220000267028809,2016-09-12
25.020505905151367,2016-09-13,51.37248229980469,2016-09-13,39.43600082397461,2016-09-13,13.069999694824219,2016-09-13
25.905895233154297,2016-09-14,51.127105712890625,2016-09-14,39.52299880981445,2016-09-14,13.093999862670898,2016-09-14
26.786659240722656,2016-09-15,51.972259521484375,2016-09-15,40.061500549316406,2016-09-15,13.361332893371582,2016-09-15
26.636003494262695,2016-09-16,52.02678680419922,2016-09-16,39.89849853515625,2016-09-16,13.69333267211914,2016-09-16
